ds,yhat,yhat_lower,yhat_upper
2015-01-01,169.48410359944003,152.43623438856437,189.3610579936242
2015-01-02,170.65062933257965,153.19016567739408,189.1627984630542
2015-01-03,170.3740007980708,152.25091953979128,189.54195086389768
2015-01-04,170.8995094334404,151.69993740174564,188.72755878372993
2015-01-05,170.50245717977165,151.176330263481,187.94478368439368
2015-01-06,168.6240776044854,151.3694605415295,187.29246411811855
2015-01-07,169.10104294249965,149.42161409538656,189.0743822628532
2015-01-08,169.82481543514695,150.14910327781635,187.9902613827013
2015-01-09,171.1976596126144,154.27220813013432,189.6012908158772
2015-01-10,171.11713099756633,151.6192983730841,189.48618272917494
2015-01-11,171.82270137510645,153.83582145459522,189.47496242194273
2015-01-12,171.5842960147531,153.53616428661763,190.1056785378581
2015-01-13,169.83821979983904,151.3793895262729,187.98517906888438
2015-01-14,170.416718046372,150.75995772567327,188.2073251935119
2015-01-15,171.20778949830117,153.49612896476035,189.89697884474728
2015-01-16,172.6110543598337,153.57576972758574,190.26130427439304
2015-01-17,172.5224954148038,154.36985584390195,191.33482840962023
2015-01-18,173.18093904017294,154.30639908757564,192.14535060027455
2015-01-19,172.85689172612703,154.98336720514902,191.28299159262224
2015-01-20,170.9883151742976,152.51820894170268,190.57461113139394
2015-01-21,171.41006376842594,152.68432347681068,190.43140317852425
2015-01-22,172.01396572831823,152.95611429716706,189.76209649112687
2015-01-23,173.20434228931853,154.46932108300052,193.3327915288787
2015-01-24,172.8827912042864,154.11907731552014,191.4059630324083
2015-01-25,173.29431396315746,155.5732787473876,192.33214295922653
2015-01-26,172.71624858047196,153.74395210865194,191.0177720710076
2015-01-27,170.5937030639712,150.69672481481305,189.363619331506
2015-01-28,170.76869703981097,152.20583823935164,188.34167262427994
2015-01-29,171.14036191479872,153.00538091042256,190.66497834846467
2015-01-30,172.11999006611018,153.86033945131987,191.5857983830747
2015-01-31,171.6157715470119,152.94979611815737,191.12014778830473
2015-02-01,171.8785133945789,154.35562740827086,190.15667624167986
2015-02-02,171.19065177582453,153.52267163553606,189.0921237492616
2015-02-03,169.00136526494282,151.08343355695214,187.8461040277483
2015-02-04,169.15548046792878,151.64454016567032,186.68633335824993
2015-02-05,169.55388842101576,151.49979242329704,188.3446641902694
2015-02-06,170.60825630196675,151.19881577417434,187.74988291748
2015-02-07,170.22588200599,149.24217773829906,189.34974694979513
2015-02-08,170.65519826907175,151.8102912185123,188.47151792418845
2015-02-09,170.17508002997403,151.29599691499106,188.93155523801948
2015-02-10,168.22987081748525,149.091733904908,187.1940440171658
2015-02-11,168.65829687383132,150.583945304325,186.3301258011209
2015-02-12,169.35434882060952,149.61671171206072,187.1505896643371
2015-02-13,170.72190255947132,152.81417585034316,188.2393909224759
2015-02-14,170.65992908701708,151.64576935273635,188.90715381277232
2015-02-15,171.40800472529074,152.01729636005032,188.94761746815263
2015-02-16,171.2361124729464,153.2114157816591,189.16746008034536
2015-02-17,169.57975186008576,150.61751662389156,188.1098591380499
2015-02-18,170.26899830895562,152.67553378656584,188.30410974091834
2015-02-19,171.1899488459856,152.9799098902106,190.3549761163986
2015-02-20,172.73930966004173,152.21178574775067,192.9634194080765
2015-02-21,172.80997506154637,155.48077019341738,192.1745656390866
2015-02-22,173.63651308504527,154.05005566923901,194.66717166043253
2015-02-23,173.48538559735186,154.50274877191396,191.6732132256518
2015-02-24,171.7900232665313,152.89699022193577,189.9681046200664
2015-02-25,172.3798712714275,153.85128756827297,191.44294627458868
2015-02-26,173.14220337694033,153.3896452707987,191.53420666086186
2015-02-27,174.47644847848133,155.46071568112632,192.8111986770301
2015-02-28,174.27988479758102,155.315416531288,193.10591457878982
2015-03-01,174.7928272622804,157.1130879779179,194.4024246401872
2015-03-02,174.28898027693037,154.59638437939552,193.4219530694046
2015-03-03,172.2101868146572,153.6211988726201,192.0412269946224
2015-03-04,172.39517245351485,154.54163576523067,192.0023962259139
2015-03-05,172.74145062849007,154.46520318986563,192.6326295919672
2015-03-06,173.65912949089972,155.56825460598787,192.96175519408519
2015-03-07,173.05648845652735,154.9327844361388,191.56444432811386
2015-03-08,173.1846669299971,155.66776666801906,190.76024483304954
2015-03-09,172.32798760330272,154.0565783682034,191.10156002728195
2015-03-10,169.93826075566224,150.94387456985007,187.51610555451865
2015-03-11,169.86315467517014,151.13339940275492,189.20241341092012
2015-03-12,170.00816968787754,150.73830378444853,189.0555755450835
2015-03-13,170.78995371535058,152.19631726100081,188.68220164342847
2015-03-14,170.12184023068127,151.91083363000968,189.17571226526442
2015-03-15,170.25816657349864,151.46358776357974,189.44916546888325
2015-03-16,169.4847424013489,152.1055435895008,188.33244088878322
2015-03-17,167.25292608882185,147.71193116752443,186.60860752917358
2015-03-18,167.40787542958986,149.2794782036762,186.83818421596328
2015-03-19,167.85087501028153,150.5594599168315,186.27882467186836
2015-03-20,168.99246849684388,150.52809152457888,188.3101318749554
2015-03-21,168.73828158116035,150.3078943854211,187.45141153220155
2015-03-22,169.33330061686286,149.52683959675434,188.7769260050865
2015-03-23,169.05281542499398,151.1333919843345,187.673043048213
2015-03-24,167.33658674814123,149.14493969216608,186.16406009128087
2015-03-25,168.01727741862027,149.5618658558061,188.25960504526566
2015-03-26,168.98340639088363,151.00765252644555,188.34175946475057
2015-03-27,170.63253674004162,150.988593584009,189.11770212061376
2015-03-28,170.85758163987188,152.45037556252453,190.27738023503173
2015-03-29,171.89119483609437,154.4363574107236,190.63585311795651
2015-03-30,171.99728840313,153.0333809711928,191.68726455010867
2015-03-31,170.6053378488965,151.83873270667104,190.3936888380709
2015-04-01,171.53898464783822,152.04988570964812,190.8907702716904
2015-04-02,172.67955193534024,153.11132602406423,191.02875532894723
2015-04-03,174.41916854391326,155.4885509867395,192.51678402111898
2015-04-04,174.64738636513994,155.04634708286397,194.05147038245042
2015-04-05,175.5954631125613,157.5061616847283,194.17015793786706
2015-04-06,175.5281929371381,157.3171077551044,194.40713031607908
2015-04-07,173.87805104668578,155.6992663970181,192.596265175893
2015-04-08,174.47364093691445,156.14074005471224,192.5931559896454
2015-04-09,175.2034247666202,155.2202549757468,193.5961451921511
2015-04-10,176.4684250411057,158.2978718350866,195.05215238257588
2015-04-11,176.1687927153674,158.07136293074385,195.51152132128422
2015-04-12,176.5476286479979,157.10571938002727,194.6524902017959
2015-04-13,175.88278966453268,156.17663704601338,195.27493094725972
2015-04-14,173.62056023361058,153.3680935939608,190.83618974425855
2015-04-15,173.60366502055155,155.20527654504352,193.54611239939757
2015-04-16,173.73497499156937,155.94078836560416,192.71731124175523
2015-04-17,174.42959447521827,157.3725689124664,194.32529694237402
2015-04-18,173.60123952804125,157.15637628278586,192.77074449904163
2015-04-19,173.50551315309423,154.35864087882268,191.82888356015718
2015-04-20,172.43165977242,154.90502099545108,191.16351967089514
2015-04-21,169.83579565068413,152.0290332670343,188.85320484566714
2015-04-22,169.56857651738943,150.4441069417508,187.55379214995747
2015-04-23,169.53902502639403,151.66956904227393,189.03530231835697
2015-04-24,170.16620108333817,151.96524357126162,189.4138259411303
2015-04-25,169.3656356540265,149.5159024839511,188.09714910448574
2015-04-26,169.39234603085492,149.74000157999254,185.83007037140786
2015-04-27,168.53285885253874,149.2725492791883,187.55518585736908
2015-04-28,166.2383451512403,147.4514708489129,185.0098100194099
2015-04-29,166.35230588089678,148.73010067730166,186.15000065728708
2015-04-30,166.774891341271,148.45397990184549,184.611479158895
2015-05-01,167.91452373958847,148.3586675542146,185.98187765789726
2015-05-02,167.67474446004107,149.43217900759672,185.52293002440035
2015-05-03,168.29730740127357,149.3327336637422,185.8430005488506
2015-05-04,168.0547800744914,148.85530055243638,187.28090222256364
2015-05-05,166.3838565639574,148.4014250154847,185.27793275097335
2015-05-06,167.11329121779806,148.55630711305588,185.0659287119898
2015-05-07,168.1288915645565,149.0862788085356,188.013213650174
2015-05-08,169.82522154504613,150.43688946734952,188.0894421683009
2015-05-09,170.0929345119169,151.23719595972193,188.9447914722059
2015-05-10,171.1619591777451,152.6405213437804,189.37256296083504
2015-05-11,171.29463549679326,152.30965386151752,189.03855563682757
2015-05-12,169.91910578274593,151.83728985450833,189.2490219903133
2015-05-13,170.85734315096107,153.12169757543188,188.78125757530896
2015-05-14,171.99061503158146,153.72612555580417,191.15902372771413
2015-05-15,173.71102006224348,155.0722153152938,192.48328587113264
2015-05-16,173.90902220069688,155.53192225950974,193.37848346938983
2015-05-17,174.81641444199892,155.20871610884663,193.12160874595492
2015-05-18,174.69965252942976,156.95308850888347,194.26194710357518
2015-05-19,172.99297377061197,154.3245702469822,191.74359768812454
2015-05-20,173.52616514883712,154.43128092646177,192.65819773028545
2015-05-21,174.19014664837215,155.72612465475692,190.811132973459
2015-05-22,175.38800405251064,157.48089147636978,196.00994308150638
2015-05-23,175.02240775875848,156.88266039232985,193.97928632891728
2015-05-24,175.33806689005795,156.5789739274929,194.7253774623316
2015-05-25,174.6150093670435,155.47493280324835,193.8010769357347
2015-05-26,172.30121874601292,152.54464083307894,191.53599382898167
2015-05-27,172.2399788685992,153.99537911652394,190.66084602844643
2015-05-28,172.33546393647913,154.37706290240786,191.88200326619102
2015-05-29,173.00320638091023,153.66435209378707,190.21846318638958
2015-05-30,172.1573926895354,154.17541464335875,191.00111247657117
2015-05-31,172.0528527684006,153.10068307514854,190.5204894506487
2015-06-01,170.97838196054087,151.89757924041518,188.5820827802708
2015-06-02,168.38903909407497,150.60371118654118,186.82003786336043
2015-06-03,168.13325417325487,148.55842284822788,186.1673423363328
2015-06-04,168.11864967256648,147.88895547227276,185.8202970227536
2015-06-05,168.76219978213382,149.56758129859583,185.48204867951543
2015-06-06,167.97768430266262,150.06048691767273,187.00171747788065
2015-06-07,168.01751177237583,150.509604119905,186.17583522492268
2015-06-08,167.1663915575282,148.67873473748102,186.95659408230324
2015-06-09,164.87360299047646,146.6177255460932,183.23087400668967
2015-06-10,164.98016995005287,145.37652033475263,183.18736153263677
2015-06-11,165.38520371515298,145.8657752179834,184.38330455318751
2015-06-12,166.4960233856323,148.09388790287153,184.25237367398836
2015-06-13,166.21601084166375,147.5973938107176,185.4855029995402
2015-06-14,166.7864782360892,147.54631724470403,186.05046528641284
2015-06-15,166.48086382385284,148.6898276477444,185.33560255640433
2015-06-16,164.73710538803846,146.14846699067743,182.83253094173728
2015-06-17,165.38497202911452,146.52433881700327,183.59772874825924
2015-06-18,166.31297476898567,146.92766020576016,185.50627570240644
2015-06-19,167.9184501277567,148.62574940318072,186.02335240642083
2015-06-20,168.09577498088302,150.1790592293542,187.08004817728155
2015-06-21,169.0781962595949,151.91824921073606,188.13750356191278
2015-06-22,169.13243053851204,150.664896259708,186.13977722399036
2015-06-23,167.69098801749706,147.885408829943,187.2201888724771
2015-06-24,168.5794788832074,150.69198104157417,188.21157650631773
2015-06-25,169.68388559747194,150.2408623680033,187.79979162533644
2015-06-26,171.40038608156797,153.19836626040072,187.9916977958964
2015-06-27,171.62369364903645,153.19061190785052,190.33600266214776
2015-06-28,172.58860923569895,154.989295269257,190.0799806635263
2015-06-29,172.5647864587335,155.31811451423079,190.06315591746298
2015-06-30,170.98877537485617,153.0841176425591,189.2000845490901
2015-07-01,171.6910858423659,153.25471368144395,189.13863924519595
2015-07-02,172.56362230839764,155.45649282224085,193.37578719470733
2015-07-03,174.00907032724243,155.8741497477109,193.35749290580281
2015-07-04,173.92921203602447,155.14920923848507,191.7256940837756
2015-07-05,174.5660809492986,156.55185379372867,192.5108368620868
2015-07-06,174.1968042466628,155.70215535245003,192.71263734033482
2015-07-07,172.26531085450804,153.6760994166345,191.6136393651717
2015-07-08,172.60912934608223,153.67919022200235,190.24965942281835
2015-07-09,173.1269950430958,153.91242341611002,192.15518664748404
2015-07-10,174.2278403988092,155.11548534805348,192.50595249702076
2015-07-11,173.81915487312776,156.68707103249253,191.68096910454426
2015-07-12,174.14783647839204,156.3272417229642,192.9392142275119
2015-07-13,173.49522711081252,155.40443179865542,192.46309005049363
2015-07-14,171.3086183182033,153.5243819103436,189.28317472939275
2015-07-15,171.42793019609368,152.24802684988506,189.84046321086348
2015-07-16,171.75364571436546,153.8046362819378,190.8875416060158
2015-07-17,172.69556362694468,152.9850372166361,190.99983097915364
2015-07-18,172.16136053729383,153.51435903533016,189.81044899841365
2015-07-19,172.3972917029963,153.25616956469258,192.12645873410298
2015-07-20,171.68356255390083,152.9539792900215,189.5052215524357
2015-07-21,169.46576228116996,151.03790752983883,187.58940065585074
2015-07-22,169.58153774495057,151.5606830431521,189.5501804485192
2015-07-23,169.9289504129341,151.374520113388,188.40133916653645
2015-07-24,170.9150667037992,153.88691786794456,188.5636935741383
2015-07-25,170.4447755081618,152.3938034627997,187.9501951976502
2015-07-26,170.76136941163543,152.153617194847,188.90036386180614
2015-07-27,170.14226168803395,152.42477249738775,188.46901783742308
2015-07-28,168.0303359985744,150.41282118670716,188.6393352924372
2015-07-29,168.2605841076196,150.50759884795787,187.93231431797466
2015-07-30,168.7288367652391,149.51731763293162,186.6710828531771
2015-07-31,169.8401278465604,151.1668118625943,187.5624164859915
2015-08-01,169.49769158042088,151.28948661985393,188.5546099908388
2015-08-02,169.94333945844443,150.28532811495558,188.04142780135334
2015-08-03,169.45343225365463,152.22977593296835,187.93952534666812
2015-08-04,167.47005301646303,149.18442072389124,186.47420794935005
2015-08-05,167.82751666275635,148.16074807393792,186.98204830866854
2015-08-06,168.42138686238897,150.4568572607696,187.33415246777196
2015-08-07,169.65653287904928,151.66989135212643,188.0524669294063
2015-08-08,169.43623476411298,152.07097521899715,188.6629681074992
2015-08-09,170.00229565800066,151.01791087311605,187.32107889957052
2015-08-10,169.63122162762173,150.9514357422225,187.66416392580132
