ds,yhat,yhat_lower,yhat_upper,Category
2015-01-01,17.362938807130426,11.693373786511424,22.76600744849018,Fishing
2015-01-02,17.779173517329905,12.359032176453082,23.1918876184544,Fishing
2015-01-03,17.44152636644204,11.798195412780045,22.668609275132958,Fishing
2015-01-04,17.23371583235243,11.732830721202369,22.961580722330904,Fishing
2015-01-05,17.360840453037707,12.460551733352165,22.711838553444817,Fishing
2015-01-06,17.6248521052145,12.158795225960093,22.850140776688004,Fishing
2015-01-07,16.719413958441766,11.432376167578823,22.169294486124322,Fishing
2015-01-08,17.55640487104167,12.002919552851193,23.10154920157034,Fishing
2015-01-09,17.963943923052955,12.47067469679421,23.273349223224955,Fishing
2015-01-10,17.614111881642632,12.472811181356512,22.751114909876097,Fishing
2015-01-11,17.390646008845902,12.389585425591362,22.505611739571652,Fishing
2015-01-12,17.4986496435494,12.036925077229135,22.750196796410133,Fishing
2015-01-13,17.740110681571178,12.02391129296827,23.194858196716662,Fishing
2015-01-14,16.808672140939258,11.819418892265144,22.414066804676896,Fishing
2015-01-15,17.61684798922009,12.292140939653516,23.022877480274385,Fishing
2015-01-16,17.992812513956736,12.637084082886561,23.37312052497305,Fishing
2015-01-17,17.609040090616055,12.479098705504104,22.30587652436709,Fishing
2015-01-18,17.349910638950412,11.832372004201401,22.61483753019542,Fishing
2015-01-19,17.42115964394333,12.184475539805884,23.02754967638342,Fishing
2015-01-20,17.625421885233628,12.532997256070239,23.325956665808476,Fishing
2015-01-21,16.656894208840797,11.29374165735758,21.731832221895807,Fishing
2015-01-22,17.429242567703923,11.957510204278083,22.800746663382895,Fishing
2015-01-23,17.771136849790643,12.176385933490673,23.09234935332913,Fishing
2015-01-24,17.35579105145839,11.968521487181771,22.311155500598804,Fishing
2015-01-25,17.06846358490553,11.714293288665964,22.231955000671878,Fishing
2015-01-26,17.115634609556363,11.878831554957006,22.479689011835305,Fishing
2015-01-27,17.30056505504852,11.854760859219137,22.614540223278954,Fishing
2015-01-28,16.31784523683914,10.760707004519329,21.423300838167783,Fishing
2015-01-29,17.08199066360223,11.831638338827027,22.531442562702498,Fishing
2015-01-30,17.4217240055874,12.283671699779449,22.51143344304316,Fishing
2015-01-31,17.010421578806483,11.690540809958529,22.521141244074197,Fishing
2015-02-01,16.733518600589978,11.46794437585734,22.724975953538014,Fishing
2015-02-02,16.797427962302635,11.707219833825775,22.05855913458701,Fishing
2015-02-03,17.005132427420232,11.748920428967152,22.399071059814627,Fishing
2015-02-04,16.050640320419156,10.962411291695885,21.850465655445724,Fishing
2015-02-05,16.848294165029014,11.697329766596669,22.403941522597982,Fishing
2015-02-06,17.225826079942713,11.632221758789639,23.03775626364927,Fishing
2015-02-07,16.855738390662175,11.230562894585404,22.448140838764452,Fishing
2015-02-08,16.62264242260121,11.539455929497326,21.92219037971611,Fishing
2015-02-09,16.731947277066418,11.917758546589711,22.240560995970693,Fishing
2015-02-10,16.98551291859275,11.968957922431997,22.2300675896956,Fishing
2015-02-11,16.076038986191723,10.415895963487277,21.47764302213552,Fishing
2015-02-12,16.91710985584921,11.52074905524031,22.17041788316856,Fishing
2015-02-13,17.33504386164219,12.04904091982416,22.536936202703902,Fishing
2015-02-14,17.00122457111944,11.710209028022216,22.131285410032486,Fishing
2015-02-15,16.799385216559905,11.95200552647666,22.5497533829923,Fishing
2015-02-16,16.93407467923543,11.601263864692106,22.452551434782855,Fishing
2015-02-17,17.20637344276403,11.451865621207297,22.890609028665246,Fishing
2015-02-18,16.308212083179466,11.175821132525165,21.62771252639137,Fishing
2015-02-19,17.153143848362184,11.379904923146793,22.712859368708514,Fishing
2015-02-20,17.56697344297357,12.266857736773641,22.773892308765973,Fishing
2015-02-21,17.22101961399932,11.897869271014219,22.758653712848208,Fishing
2015-02-22,16.999321186371542,11.68596493803107,22.244629775174374,Fishing
